User ID,Measurement,Group
122,587.1007,Control
866,750.734,Control
281,93.5991,Control
773,622.118,Control
441,1082.6148,Control
624,632.8456,Control
176,663.9907,Control
740,726.2313,Control
342,476.5998,Control
480,569.8947,Control
613,123.6929,Control
519,446.9751,Control
651,643.9325,Control
459,277.2329,Control
34,1030.8625,Control
938,433.1224,Control
203,493.2998,Control
50,531.5766,Control
948,436.285,Control
276,453.2098,Control
10,589.8988,Control
226,335.5879,Control
692,760.7316,Control
507,507.9566,Control
735,568.8362,Control
94,487.2768,Control
914,945.4969,Control
971,606.8064,Control
185,704.3159,Control
555,816.6736,Control
30,294.1044,Control
786,405.9395,Control
521,651.64,Control
454,865.662,Control
677,856.3967,Control
865,335.7102,Control
365,549.3903,Control
841,847.5972,Control
757,605.2892,Control
484,646.9486,Control
522,592.6008,Control
958,835.6524,Control
400,365.0723,Control
710,489.4888,Control
6,772.1691,Control
419,74.3914,Control
407,587.4933,Control
355,609.6863,Control
887,898.887,Control
559,740.0599,Control
237,941.661,Control
929,831.3808,Control
482,669.4096,Control
195,654.7568,Control
471,645.3352,Control
714,440.5341,Control
330,512.0896,Control
359,488.2984,Control
251,569.6261,Control
187,473.2959,Control
618,532.2896,Control
968,737.8025,Control
63,362.5255,Control
637,215.2713,Control
231,728.7001,Control
492,584.5917,Control
310,456.2285,Control
563,504.4478,Control
255,482.7633,Control
351,811.9067,Control
346,379.3951,Control
239,529.7517,Control
568,333.8645,Control
858,532.1834,Control
395,619.2446,Control
491,1081.4657,Control
387,729.1611,Control
214,432.2543,Control
577,447.7751,Control
874,762.8055,Control
254,185.382,Control
287,624.7392,Control
639,330.7678,Control
299,397.7804,Control
328,550.3362,Control
903,303.4927,Control
782,442.3721,Control
102,625.9978,Control
178,793.065,Control
940,663.746,Control
105,329.186,Control
661,414.575,Control
819,535.7272,Control
960,402.2706,Control
154,422.4579,Control
882,682.0859,Control
717,761.847,Control
277,858.5175,Control
820,322.5587,Control
683,504.2857,Control
708,543.6712,Control
208,754.6539,Control
2,495.5337,Control
269,423.2289,Control
442,765.7944,Control
